chrom	start	end	strand	total_mapped_reads	unique_mapped_reads	shared_reads	feature	class	annotation_group
chr2	203142838	203142906	+	7	7	0	NOP58(protein_coding),SNORD70(snoRNA)	A	SM-PC
chr15	65597014	65597131	+	7	6	1	ENST00000363286(hg19_snRna),RNU5B-1(snRNA)	A	SM-ONLY
chr19	49993872	49993955	+	7	7	0	RPL13A(protein_coding),U33(hg19_snoRna),SNORD33(snoRNA)	A	SM-PC
chr1	1103295	1103320	+	7	7	0	hsa-miR-200a-3p(hg19_miRNA),MIR200A(miRNA)	A	SM-ONLY
chr17	28444148	28444173	+	6	6	0	ENST00000585881(hg19_ensGene),NSRP1(protein_coding),hsa-miR-423-3p(hg19_miRNA),MIR423(miRNA)	A	SM-PC
chr17	74557193	74557270	+	6	6	0	snR38B(hg19_snoRna),FR114004(hg19_F_piRNA),SNORD1B(snoRNA),FR131044(hg19_F_piRNA)	A	SM-ONLY
chr2	232321156	232321234	-	6	6	0	SNORD20(snoRNA),U20(hg19_snoRna),FR236999(hg19_F_piRNA)	A	SM-ONLY
chr19	51302699	51302785	-	6	6	0	HBII-180A(hg19_snoRna),SNORD88A(snoRNA)	A	SM-ONLY
chr22	43011249	43011400	+	6	6	0	RNU12(lincRNA),ENST00000362512(hg19_snRna)	A	SM-LN
chr6	4428230	4428317	+	5	5	0	ENST00000364315(hg19_rRna),RNA5SP202(rRNA)	A	SM-ONLY
chr19	49994163	49994229	+	5	5	0	U34(hg19_snoRna),RPL13A(protein_coding),FR297613(hg19_F_piRNA),FR349959(hg19_F_piRNA),SNORD34(snoRNA)	A	SM-PC
chr8	33371008	33371097	+	5	5	0	SNORD13(snoRNA),U13(hg19_snoRna)	A	SM-ONLY
chr9	136216250	136216325	+	5	5	0	U24(hg19_snoRna),RPL7A(protein_coding),SNORD24(snoRNA)	A	SM-PC
chr11	75111434	75111582	+	5	5	0	ENST00000528847(hg19_ensGene),RPS3(protein_coding),FR380227(hg19_F_piRNA),SNORD15A(snoRNA),U15A(hg19_snoRna)	A	SM-PC
chr8	22102483	22102509	-	5	5	0	hsa-miR-320a(hg19_miRNA),MIR320A(miRNA)	A	SM-ONLY
chr17	2233576	2233658	-	5	5	0	FR321895(hg19_F_piRNA),FR359148(hg19_F_piRNA),HBII-296A(hg19_snoRna),SNORD91A(sense_intronic)	A	SM-LN
chr19	10218333	10218399	+	4	4	0	SNORD105(snoRNA),U105(hg19_snoRna)	A	SM-ONLY
chr2	207026605	207026675	+	4	4	0	SNORD51(snoRNA),FR246367(hg19_F_piRNA),U51(hg19_snoRna)	A	SM-ONLY
chr9	136217310	136217382	+	4	4	0	U36A(hg19_snoRna),RPL7A(protein_coding),SNORD36A(snoRNA)	A	SM-PC
chr7	129414577	129414601	-	4	4	0	hsa-miR-96-5p(hg19_miRNA),MIR96(miRNA)	A	SM-ONLY
chr13	45910447	45910582	-	4	4	0	SNORA31(snoRNA)	A	SM-ONLY
chr7	99691623	99691648	-	4	4	0	MIR106B(miRNA),hsa-miR-106b-3p(hg19_miRNA)	A	SM-ONLY
chr2	219267379	219267402	+	4	2	2	MIR26B(miRNA),hsa-miR-26b-5p(hg19_miRNA)	A	SM-ONLY
chr1	45244061	45244137	+	4	4	0	RPS8(protein_coding),FR006353(hg19_F_piRNA),U38B(hg19_snoRna),SNORD38B(snoRNA)	A	SM-PC
chr12	54731061	54731085	+	4	4	0	hsa-miR-148b-3p(hg19_miRNA),MIR148B(miRNA)	A	SM-ONLY
chr3	186504463	186504599	+	4	4	0	HBI-61(hg19_snoRna),hsa-miR-1248(hg19_miRNA),SNORA81(snoRNA),EIF4A2(protein_coding)	A	SM-PC
chr11	8706985	8707117	+	4	4	0	SNORA45(snoRNA),ACA3-2(hg19_snoRna)	A	SM-ONLY
chr1	28906891	28907024	-	4	4	0	ACA44(hg19_snoRna),SNHG12(antisense)	A	SM-LN
chr1	1103257	1103281	+	4	4	0	hsa-miR-200a-5p(hg19_miRNA),MIR200A(miRNA)	A	SM-ONLY
chr11	93465525	93465666	-	4	4	0	ACA8(hg19_snoRna),TAF1D(protein_coding),SNORA8(snoRNA)	A	SM-PC
chr9	96941122	96941145	+	4	4	0	hsa-let-7d-5p(hg19_miRNA),MIRLET7D(miRNA)	A	SM-ONLY
chr15	65588388	65588506	+	4	3	1	RNU5A-1(snRNA),ENST00000362698(hg19_snRna)	A	SM-ONLY
chr20	17943353	17943383	-	3	3	0	FR352491(hg19_F_piRNA),FR344796(hg19_F_piRNA),SNORD17(snoRNA),FR185905(hg19_F_piRNA),HBI-43(hg19_snoRna),FR290142(hg19_F_piRNA)	A	SM-ONLY
chr17	27049601	27049670	+	3	3	0	mgh18S-121(hg19_snoRna),SNORD4A(snoRNA),FR248000(hg19_F_piRNA)	A	SM-ONLY
chr10	105154055	105154079	-	3	3	0	ENST00000337003(hg19_ensGene),USMG5(protein_coding),hsa-miR-1307-3p(hg19_miRNA),ENST00000369825(hg19_ensGene),MIR1307(miRNA)	A	SM-PC
chr1	28906274	28906405	-	3	3	0	FR218973(hg19_F_piRNA),ACA61(hg19_snoRna),SNHG12(antisense)	A	SM-LN
chrX	45606435	45606462	-	3	3	0	MIR222(miRNA),hsa-miR-222-3p(hg19_miRNA)	A	SM-ONLY
chr17	58308875	58309010	-	3	3	0	SCARNA20(snoRNA),ACA66(hg19_snoRna)	A	SM-ONLY
chr9	125642501	125642585	-	3	3	0	SNORD90(snoRNA),HBII-295(hg19_snoRna)	A	SM-ONLY
chr16	69967044	69967068	+	3	3	0	MIR140(miRNA),hsa-miR-140-3p(hg19_miRNA)	A	SM-ONLY
chr11	62620380	62620508	-	3	3	0	SNHG1(processed_transcript),U22(hg19_snoRna)	A	SM-LN
chr17	28444112	28444136	+	3	3	0	ENST00000585881(hg19_ensGene),hsa-miR-423-5p(hg19_miRNA),NSRP1(protein_coding),MIR423(miRNA)	A	SM-PC
chrX	53583258	53583281	-	3	3	0	MIR98(miRNA),hsa-miR-98-5p(hg19_miRNA)	A	SM-ONLY
chr19	49994432	49994513	+	3	3	0	RPL13A(protein_coding),SNORD35A(snoRNA),FR018916(hg19_F_piRNA),U35A(hg19_snoRna)	A	SM-PC
chr3	39449879	39450032	+	3	3	0	SNORA6(snoRNA),ACA6(hg19_snoRna),RPSA(protein_coding)	A	SM-PC
chr2	29136529	29136613	+	3	3	0	SNORD92(snoRNA),HBII-316(hg19_snoRna)	A	SM-ONLY
chr17	19091385	19091546	+	3	3	0	U3(hg19_snoRna),SNORD3A(lincRNA)	A	SM-LN
chr12	132515768	132515906	+	3	3	0	SNORA49(snoRNA),ACA49(hg19_snoRna)	A	SM-ONLY
chr1	71533361	71533385	-	3	3	0	MIR186(miRNA),hsa-miR-186-5p(hg19_miRNA)	A	SM-ONLY
chr9	21512153	21512177	-	3	3	0	hsa-miR-31-5p(hg19_miRNA),MIR31(miRNA)	A	SM-ONLY
chr11	75115464	75115611	+	3	3	0	U15B(hg19_snoRna),SNORD15B(snoRNA)	A	SM-ONLY
chr10	103124604	103124720	-	3	2	1	RNU2-59P(snRNA),ENST00000410482(hg19_snRna)	A	SM-ONLY
chr3	129116051	129116191	-	3	2	1	ACA7B(hg19_snoRna),SNORA7B(snoRNA)	A	SM-ONLY
chr2	25467967	25468017	-	3	3	0	NA	U	Novel
chr9	139565104	139565127	+	2	2	0	hsa-miR-126-3p(hg19_miRNA),MIR126(miRNA)	A	SM-ONLY
chr8	135812811	135812834	-	2	2	0	hsa-miR-30b-5p(hg19_miRNA),MIR30B(miRNA)	A	SM-ONLY
chr22	20020675	20020698	+	2	2	0	MIR185(miRNA),hsa-miR-185-5p(hg19_miRNA)	A	SM-ONLY
chr1	1104434	1104457	+	2	2	0	MIR429(miRNA),hsa-miR-429(hg19_miRNA)	A	SM-ONLY
chrX	153628620	153628757	+	2	2	0	RPL10(protein_coding),SNORA70(snoRNA),U70(hg19_snoRna)	A	SM-PC
chr9	139908200	139908228	-	2	2	0	FR162144(hg19_F_piRNA)	A	SM-ONLY
chr1	28835069	28835248	+	2	2	0	SNORA73B(snoRNA),U17b(hg19_snoRna)	A	SM-ONLY
chr1	161582501	161582587	+	2	2	0	chr1.tRNA49-GluTTC(hg19_tRNAs)	A	SM-ONLY
chr1	198828196	198828219	-	2	2	0	MIR181A1(miRNA),hsa-miR-181a-3p(hg19_miRNA)	A	SM-ONLY
chr11	62622091	62622167	-	2	2	0	SNHG1(processed_transcript),U28(hg19_snoRna)	A	SM-LN
chr11	93454983	93455033	+	2	2	0	mgU2-19/30(hg19_snoRna),SCARNA9(antisense)	A	SM-LN
chr7	148638579	148638663	+	2	2	0	RNY5(misc_RNA)	A	SM-ONLY
chr12	49050429	49050565	-	2	2	0	SNORA2A(snoRNA),ACA2a(hg19_snoRna)	A	SM-ONLY
chr17	2232419	2232501	-	2	2	0	SNORD91B(sense_intronic),HBII-296B(hg19_snoRna)	A	SM-LN
chr9	136217700	136217840	+	2	2	0	SNORD36C(snoRNA),U36C(hg19_snoRna),RPL7A(protein_coding),FR372325(hg19_F_piRNA)	A	SM-PC
chrMT	12168	12232	+	2	2	0	MT-TH(Mt_tRNA),MT-TS2(Mt_tRNA)	A	SM-ONLY
chr1	11968208	11968330	+	2	2	0	ENST00000362477(hg19_snRna),RNU5E-1(snRNA)	A	SM-ONLY
chr6	609180	609252	-	2	2	0	NA	L	Novel
chr7	130136002	130136025	+	2	2	0	MIR335(miRNA),hsa-miR-335-3p(hg19_miRNA)	A	SM-ONLY
chr9	136216980	136217020	+	2	2	0	RPL7A(protein_coding),U36B(hg19_snoRna),SNORD36B(snoRNA)	A	SM-PC
chr9	33952773	33952841	-	2	2	0	SNORD121A(snoRNA),FR407461(hg19_F_misc),SNORD121A(hg19_snoRna)	A	SM-ONLY
chr14	20791336	20791487	-	2	2	0	SNORA79(snoRNA)	A	SM-ONLY
chr10	70514928	70514997	+	2	2	0	SNORD98(snoRNA),CCAR1(protein_coding),FR103462(hg19_F_piRNA),FR074386(hg19_F_piRNA),HBII-419(hg19_snoRna),FR365646(hg19_F_piRNA)	A	SM-PC
chr5	40832762	40832832	-	2	2	0	HBII-240(hg19_snoRna),SNORD72(snoRNA)	A	SM-ONLY
chr13	92003384	92003461	+	2	2	0	hsa-miR-19b-1-5p(hg19_miRNA),FR129211(hg19_F_misc),MIR17HG(processed_transcript)	A	SM-LN
chrX	45605607	45605630	-	2	2	0	MIR221(miRNA),hsa-miR-221-3p(hg19_miRNA)	A	SM-ONLY
chr7	130562264	130562289	-	2	2	0	hsa-miR-29b-1-5p(hg19_miRNA),MIR29A(lincRNA)	A	SM-LN
chr20	37062503	37062642	-	2	2	0	U71d(hg19_snoRna),SNORA71D(snoRNA)	A	SM-ONLY
chr1	93306275	93306409	+	2	2	0	SNORA66(snoRNA),U66(hg19_snoRna)	A	SM-ONLY
chr15	45493420	45493455	+	2	2	0	NA	L	Novel
chr9	35657877	35658017	-	2	2	0	FR119392(hg19_F_misc),FR355912(hg19_F_misc),RMRP(lincRNA),FR260307(hg19_F_misc),FR193707(hg19_F_misc),FR089364(hg19_F_misc),FR215892(hg19_F_misc),FR380380(hg19_F_misc)	A	SM-LN
